Server,MessageSize,Messages,AverageBytesPerSec,AverageMsgsPerSec
10.0.0.11,128,500,563965.8081033999,4405.4
10.0.0.11,128,500,320110.68996969995,2500.5
10.0.0.11,128,500,205925.62928946665,1608.4
10.0.0.11,128,500,218819.97389375,1709
10.0.0.11,128,500,455970.62574229995,3562
10.0.0.11,128,500,264347.5550426667,2064.6666666666665
10.0.0.11,128,500,241241.01022295002,1884.15
10.0.0.11,128,500,215152.93793756003,1680.4
10.0.0.11,128,500,543052.571676,4242
10.0.0.11,128,500,346311.0142492,2705
10.0.0.11,128,500,264559.46684763994,2066.44
10.0.0.11,128,500,193884.294619,1514.2000000000003
10.0.0.11,64,500,420001.7228692,6561.8
10.0.0.11,64,500,274774.8942875,4292.8
10.0.0.11,64,500,218081.78037586669,3407.066666666667
10.0.0.11,64,500,134298.88853419997,2097.9
10.0.0.11,64,500,518304.5288849,8097.9
10.0.0.11,64,500,244164.81377146667,3814.4666666666662
10.0.0.11,64,500,198062.9587901,3094.3
10.0.0.11,64,500,143242.27014480002,2237.64
10.0.0.11,64,500,447810.36374653334,6996.533333333333
10.0.0.11,64,500,328365.3079725999,5130.15
10.0.0.11,64,500,222174.93949632003,3471.0800000000004
10.0.0.11,64,500,148966.59544153334,2327.1333333333337
10.0.0.11,32,500,394545.44197079993,12329.2
10.0.0.11,32,500,282740.78981219995,8835
10.0.0.11,32,500,173715.19561300002,5428
10.0.0.11,32,500,124316.73697589998,3884.35
10.0.0.11,32,500,384326.71239390003,12009.6
10.0.0.11,32,500,275393.27049413335,8605.533333333335
10.0.0.11,32,500,174097.33369455,5440.15
10.0.0.11,32,500,140763.8397994,4398.32
10.0.0.11,32,500,427351.7318682,13354.266666666666
10.0.0.11,32,500,274925.67492455,8591
10.0.0.11,32,500,151643.0828192,4738.360000000001
10.0.0.11,32,500,123604.91565603335,3862.1333333333337
10.0.0.11,16,500,228522.4975042,14282.2
10.0.0.11,16,500,199408.6613297,12462.7
10.0.0.11,16,500,137210.1383522667,8575.066666666668
10.0.0.11,16,500,96786.1007795,6048.6
10.0.0.11,16,500,372817.1190293,23300.6
10.0.0.11,16,500,197779.55529746666,12360.8
10.0.0.11,16,500,137022.85372865,8563.45
10.0.0.11,16,500,76616.92929164,4788.04
10.0.0.11,16,500,346261.1157044,21640.86666666667
10.0.0.11,16,500,198656.9167754,12415.55
10.0.0.11,16,500,115673.0138308,7229
10.0.0.11,16,500,71767.72973266666,4485
10.0.0.11,8,500,193765.21507099998,24220.2
10.0.0.11,8,500,142371.2667784,17795.9
10.0.0.11,8,500,101072.42087766668,12633.466666666665
10.0.0.11,8,500,76561.56905865,9569.8
10.0.0.11,8,500,176096.87551970003,22011.5
10.0.0.11,8,500,138405.98731966666,17300.266666666666
10.0.0.11,8,500,103035.19234375001,12878.9
10.0.0.11,8,500,59185.088519760015,7397.639999999999
10.0.0.11,8,500,224078.44827753335,28009.13333333333
10.0.0.11,8,500,148401.75198740003,18549.75
10.0.0.11,8,500,98862.14131132,12357.240000000002
10.0.0.11,8,500,62103.42098753333,7762.366666666666
10.0.0.11,4,500,145263.4635208,36315.4
10.0.0.11,4,500,72989.35332010001,18246.8
10.0.0.11,4,500,47595.34248913334,11898.333333333332
10.0.0.11,4,500,2077436.3911687,519358.55
10.0.0.11,4,500,174096.9066387,43523.6
10.0.0.11,4,500,87954.22850180001,21988.066666666666
10.0.0.11,4,500,74755.35185479998,18688.45
10.0.0.11,4,500,48149.6266664,12036.88
10.0.0.11,4,500,143119.58260213333,35779.53333333333
10.0.0.11,4,500,76076.83390930001,19018.65
10.0.0.11,4,500,71232.17630976,17807.56
10.0.0.11,4,500,47811.57397029999,11952.233333333334
10.0.0.11,2,500,84716.92772060001,42357.8
10.0.0.11,2,500,38461.7174541,19230.4
10.0.0.11,2,500,38677.156017,19338.066666666666
10.0.0.11,2,500,22349.875638000005,11174.4
10.0.0.11,2,500,106150.71128049998,53074.9
10.0.0.11,2,500,42462.70498726667,21230.93333333333
10.0.0.11,2,500,21595.95616305,10797.55
10.0.0.11,2,500,27351.193052319995,13675.12
10.0.0.11,2,500,92361.09257559999,46180.066666666666
10.0.0.11,2,500,57616.849657800005,28808.05
10.0.0.11,2,500,28872.31325284,14435.76
10.0.0.11,2,500,30506.497791766666,15252.7
10.0.0.11,1,500,54353.4814426,54353
10.0.0.11,1,500,31781.298078700005,31780.7
10.0.0.11,1,500,21572.050446533332,21571.533333333333
10.0.0.11,1,500,16012.567134649998,16012.15
10.0.0.11,1,500,26812.730346100005,26812.1
10.0.0.11,1,500,18968.33342453333,18967.73333333333
10.0.0.11,1,500,19000.53108805,19000
10.0.0.11,1,500,16289.850474879999,16289.4
10.0.0.11,1,500,58252.5897698,58252.2
10.0.0.11,1,500,46014.36858125,46013.9
10.0.0.11,1,500,29638.959297240002,29638.52
10.0.0.11,1,500,25782.1308779,25781.6
10.0.0.12,128,500,695058.2882129999,5429.6
10.0.0.12,128,500,372316.6690324,2908.2
10.0.0.12,128,500,331112.8493363333,2586.2666666666664
10.0.0.12,128,500,257056.52528320003,2007.75
10.0.0.12,128,500,385194.6234693999,3008.8
10.0.0.12,128,500,235710.52483513337,1841.0666666666668
10.0.0.12,128,500,202703.7964221,1583.15
10.0.0.12,128,500,138546.8700392,1081.8799999999999
10.0.0.12,128,500,483281.0643604,3775.1333333333328
10.0.0.12,128,500,264771.33319025,2067.9
10.0.0.12,128,500,212576.60570684,1660.2400000000002
10.0.0.12,128,500,159990.15161280002,1249.3
10.0.0.12,64,500,537271.7347155999,8394.6
10.0.0.12,64,500,248923.10290640002,3888.9
10.0.0.12,64,500,179545.4710368667,2805.0000000000005
10.0.0.12,64,500,136212.31279219998,2127.8
10.0.0.12,64,500,406804.3957307,6355.9
10.0.0.12,64,500,257653.09896106663,4025.4
10.0.0.12,64,500,161996.48345955,2530.7
10.0.0.12,64,500,125688.41953223999,1963.36
10.0.0.12,64,500,424911.1747787333,6638.666666666666
10.0.0.12,64,500,317949.42423865,4967.45
10.0.0.12,64,500,213870.80596224,3341.28
10.0.0.12,64,500,160276.46313256669,2503.8
10.0.0.12,32,500,428152.0642258,13379.2
10.0.0.12,32,500,258414.89396699998,8075.1
10.0.0.12,32,500,145151.88711953332,4535.4
10.0.0.12,32,500,137415.7211019,4293.75
10.0.0.12,32,500,442456.6298742,13826.1
10.0.0.12,32,500,322156.90513973334,10066.866666666667
10.0.0.12,32,500,152823.32230289996,4775.3
10.0.0.12,32,500,107677.53058156001,3364.4800000000005
10.0.0.12,32,500,404719.4890388,12646.999999999998
10.0.0.12,32,500,225250.52897814996,7038.7
10.0.0.12,32,500,137722.84750392,4303.4
10.0.0.12,32,500,98960.25342970001,3092.0000000000005
10.0.0.12,16,500,207825.99321739998,12988.6
10.0.0.12,16,500,208249.48217170002,13014.9
10.0.0.12,16,500,150012.97659546667,9375.333333333332
10.0.0.12,16,500,108830.01029699999,6801.35
10.0.0.12,16,500,389638.4924756,24352
10.0.0.12,16,500,189906.61119246663,11868.533333333333
10.0.0.12,16,500,138460.29515515,8653.25
10.0.0.12,16,500,108923.68516672,6807.160000000001
10.0.0.12,16,500,313913.80309893336,19619
10.0.0.12,16,500,166677.4513852,10416.75
10.0.0.12,16,500,131601.00165744,8224.599999999999
10.0.0.12,16,500,95152.04522110001,5946.566666666667
10.0.0.12,8,500,246284.23297280003,30785.2
10.0.0.12,8,500,143644.0411962,17954.9
10.0.0.12,8,500,103036.51148686667,12879
10.0.0.12,8,500,61224.22541934999,7652.5
10.0.0.12,8,500,267180.3420124,33397.1
10.0.0.12,8,500,143297.22529499998,17911.533333333333
10.0.0.12,8,500,88996.49737295002,11124.1
10.0.0.12,8,500,64999.399484800015,8124.44
10.0.0.12,8,500,160952.34433999998,20118.600000000002
10.0.0.12,8,500,107692.09930964999,13460.95
10.0.0.12,8,500,86932.19127092,10866.039999999999
10.0.0.12,8,500,80184.14876046666,10022.5
10.0.0.12,4,500,164483.251737,41120.4
10.0.0.12,4,500,119589.1746321,29896.7
10.0.0.12,4,500,60149.87651973333,15037.066666666666
10.0.0.12,4,500,33493.57644015,8372.85
10.0.0.12,4,500,120728.4870166,30181.6
10.0.0.12,4,500,101175.15986059999,25293.4
10.0.0.12,4,500,62560.4302531,15639.65
10.0.0.12,4,500,47367.35898528,11841.36
10.0.0.12,4,500,146002.35600986666,36500.13333333333
10.0.0.12,4,500,92143.0916311,23035.2
10.0.0.12,4,500,71032.84834828001,17757.72
10.0.0.12,4,500,53496.89864206667,13373.766666666666
10.0.0.12,2,500,84239.6171472,42119.2
10.0.0.12,2,500,51630.012354399994,25814.6
10.0.0.12,2,500,21409.787372866667,10704.4
10.0.0.12,2,500,25474.1236818,12736.65
10.0.0.12,2,500,69939.10280230001,34969.1
10.0.0.12,2,500,50469.108949600006,25234.133333333335
10.0.0.12,2,500,41442.1564871,20720.65
10.0.0.12,2,500,30735.8837158,15367.48
10.0.0.12,2,500,96488.64715806665,48243.8
10.0.0.12,2,500,39271.9749876,19635.55
10.0.0.12,2,500,31941.15053644,15970.079999999998
10.0.0.12,2,500,18010.4594183,9004.733333333334
10.0.0.12,1,500,106725.81963259999,106725.2
10.0.0.12,1,500,57180.206902599995,57179.6
10.0.0.12,1,500,32207.645314066664,32207.13333333334
10.0.0.12,1,500,26470.79353555,26470.3
10.0.0.12,1,500,80721.3236252,80720.8
10.0.0.12,1,500,43166.920854133336,43166.4
10.0.0.12,1,500,40512.3790039,40511.9
10.0.0.12,1,500,26769.70929548,26769.2
10.0.0.12,1,500,69862.51056513333,69861.99999999999
10.0.0.12,1,500,47255.88849515,47255.4
10.0.0.12,1,500,36479.396596119994,36478.92
10.0.0.12,1,500,26708.118091966666,26707.666666666668
10.0.0.13,128,500,537902.66243,4201.8
10.0.0.13,128,500,251072.3680619,1961.1
10.0.0.13,128,500,168843.76102306668,1318.6
10.0.0.13,128,500,149333.5135122,1166.05
10.0.0.13,128,500,355953.1166551,2780.4
10.0.0.13,128,500,232988.60979953333,1819.8
10.0.0.13,128,500,173331.67522445,1353.65
10.0.0.13,128,500,115049.10621004,898.4
10.0.0.13,128,500,473287.57752433326,3697
10.0.0.13,128,500,265289.2853804,2072.15
10.0.0.13,128,500,192912.41986744004,1506.6799999999998
10.0.0.13,128,500,142419.51862699998,1112.1
10.0.0.13,64,500,432732.7166964,6761
10.0.0.13,64,500,253514.8343928,3960.6
10.0.0.13,64,500,149798.41316179998,2340.0666666666666
10.0.0.13,64,500,126923.1986882,1982.6
10.0.0.13,64,500,465706.32221460005,7276.2
10.0.0.13,64,500,262066.32042046668,4094.2
10.0.0.13,64,500,177203.6118916,2768.35
10.0.0.13,64,500,116599.0292074,1821.48
10.0.0.13,64,500,536874.1286104,8388.266666666666
10.0.0.13,64,500,281688.0657405,4401.05
10.0.0.13,64,500,179836.52032836,2809.44
10.0.0.13,64,500,128000.74344876668,1999.5333333333335
10.0.0.13,32,500,318157.8511332,9942
10.0.0.13,32,500,233419.70604440002,7293.9
10.0.0.13,32,500,136216.01339699997,4256.266666666667
10.0.0.13,32,500,105790.67925384999,3305.45
10.0.0.13,32,500,429618.8033726,13425
10.0.0.13,32,500,185346.43313246666,5791.666666666666
10.0.0.13,32,500,164101.15503145,5127.55
10.0.0.13,32,500,125379.48096084001,3917.5199999999995
10.0.0.13,32,500,435869.55327639997,13620.4
10.0.0.13,32,500,234099.7695158,7315.05
10.0.0.13,32,500,153465.10512388,4795.24
10.0.0.13,32,500,230709.50240583337,7209.2
10.0.0.13,16,500,332319.00885820005,20769.4
10.0.0.13,16,500,196323.2423776,12269.8
10.0.0.13,16,500,157190.4476178,9824.000000000002
10.0.0.13,16,500,101742.20724055001,6358.45
10.0.0.13,16,500,324934.16218489996,20308
10.0.0.13,16,500,176518.41379313334,11031.8
10.0.0.13,16,500,115598.42234364999,7224.3
10.0.0.13,16,500,75396.10208176,4711.719999999999
10.0.0.13,16,500,298181.28898573335,18635.666666666664
10.0.0.13,16,500,158579.2895145,9910.75
10.0.0.13,16,500,118802.50531868,7424.6
10.0.0.13,16,500,79353.33660956667,4959.0666666666675
10.0.0.13,8,500,249997.07956540002,31249.4
10.0.0.13,8,500,125948.5132704,15743.2
10.0.0.13,8,500,92555.60035533333,11568.933333333334
10.0.0.13,8,500,7550319.259584348,943789.4
10.0.0.13,8,500,276285.5030948,34535.4
10.0.0.13,8,500,128954.03973739999,16118.8
10.0.0.13,8,500,92314.3778274,11538.85
10.0.0.13,8,500,54149.59204248,6768.279999999999
10.0.0.13,8,500,172091.93831806668,21511
10.0.0.13,8,500,108874.22423729999,13608.75
10.0.0.13,8,500,57936.939943440004,7241.639999999999
10.0.0.13,8,500,50496.394083733336,6311.5666666666675
10.0.0.13,4,500,140821.67351379996,35205
10.0.0.13,4,500,69868.52589379999,17466.6
10.0.0.13,4,500,44895.32354906666,11223.266666666666
10.0.0.13,4,500,33675.3827699,8418.25
10.0.0.13,4,500,162890.80566210003,40722.2
10.0.0.13,4,500,88563.44617813334,22140.333333333336
10.0.0.13,4,500,55941.01709944999,13984.8
10.0.0.13,4,500,38551.82008456001,9637.36
10.0.0.13,4,500,156957.25844246667,39238.933333333334
10.0.0.13,4,500,92368.1946778,23091.5
10.0.0.13,4,500,60611.86996540001,15152.4
10.0.0.13,4,500,43064.3756745,10765.6
10.0.0.13,2,500,74639.68885579999,37319.4
10.0.0.13,2,500,51717.9000589,25858.6
10.0.0.13,2,500,34452.29902846667,17225.666666666664
10.0.0.13,2,500,24292.9014104,12146
10.0.0.13,2,500,57883.7073938,28941.3
10.0.0.13,2,500,43745.95444993333,21872.533333333333
10.0.0.13,2,500,28385.89785405,14192.4
10.0.0.13,2,500,19597.925969800002,9798.56
10.0.0.13,2,500,77201.31728546668,38600.2
10.0.0.13,2,500,32446.771019800002,16222.85
10.0.0.13,2,500,26963.05547932,13481.119999999999
10.0.0.13,2,500,20957.557104366668,10478.3
10.0.0.13,1,500,90179.1448146,90178.8
10.0.0.13,1,500,58283.183212,58282.6
10.0.0.13,1,500,33788.87401093334,33788.333333333336
10.0.0.13,1,500,25792.94223265,25792.5
10.0.0.13,1,500,74865.7546129,74865.3
10.0.0.13,1,500,41500.25203793334,41499.73333333333
10.0.0.13,1,500,37220.478419499996,37219.95
10.0.0.13,1,500,27324.815946,27324.32
10.0.0.13,1,500,66071.76771900001,66071.26666666666
10.0.0.13,1,500,48908.378316550006,48907.85
10.0.0.13,1,500,31118.022635200003,31117.559999999998
10.0.0.13,1,500,23214.3678285,23213.833333333336
